2026-03-24 18:36:17 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-24 18:36:17 | INFO | CI | Logger configured.
2026-03-24 18:36:27 | INFO | CI | === RUN START ===
2026-03-24 18:36:27 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-24 18:36:27 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-24 18:36:27 | INFO | CI | python=3.14.2
2026-03-24 18:36:27 | INFO | CI | os=Windows 11
2026-03-24 18:36:27 | INFO | CI | shell=powershell
2026-03-24 18:36:27 | INFO | CI | cwd=notebooks
2026-03-24 18:36:27 | INFO | CI | github_actions=False
2026-03-24 18:36:27 | INFO | CI | ROOT_PATH = .
2026-03-24 18:36:27 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-24 18:36:27 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-24 18:36:27 | INFO | CI | Logger configured.
2026-03-24 18:37:13 | INFO | CI | === RUN START ===
2026-03-24 18:37:13 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-24 18:37:13 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-24 18:37:13 | INFO | CI | python=3.14.2
2026-03-24 18:37:13 | INFO | CI | os=Windows 11
2026-03-24 18:37:13 | INFO | CI | shell=powershell
2026-03-24 18:37:13 | INFO | CI | cwd=notebooks
2026-03-24 18:37:13 | INFO | CI | github_actions=False
2026-03-24 18:37:13 | INFO | CI | ROOT_PATH = .
2026-03-24 18:37:13 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-24 18:37:13 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-24 18:37:13 | INFO | CI | Logger configured.
2026-03-24 18:37:14 | INFO | CI | ========================
2026-03-24 18:37:14 | INFO | CI | Notebook executed successfully!
2026-03-24 18:37:14 | INFO | CI | ========================
2026-03-24 19:02:45 | INFO | CI | === RUN START ===
2026-03-24 19:02:45 | INFO | CI | project=MODULE 3 NOTEBOOK: CORPUS EXPLORATION
2026-03-24 19:02:45 | INFO | CI | repo_dir=nlp-03-text-exploration
